                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.70817,                0.47596,                 1.1624,                0.96088,                0.89058,                0.93395,                0.68401,                0.97652,                0.53983,                 1.4831,             0.00082513,             0.00082513,             0.00082513
                    105,                0.70406,                0.48833,                   1.16,                0.97192,                0.89068,                  0.937,                0.69872,                0.99167,                0.53486,                 1.4742,               0.000821,               0.000821,               0.000821
                    106,                 0.7315,                0.48781,                 1.1728,                 0.9511,                0.88787,                0.93171,                0.68561,                0.99059,                0.53525,                 1.4942,             0.00081688,             0.00081688,             0.00081688
                    107,                0.70325,                0.47813,                 1.1675,                 0.9288,                0.89555,                 0.9339,                0.68877,                 1.0023,                0.53686,                  1.504,             0.00081275,             0.00081275,             0.00081275
                    108,                0.71511,                0.48268,                 1.1531,                0.93447,                0.89055,                0.93133,                0.69202,                0.98092,                0.54631,                 1.4693,             0.00080863,             0.00080863,             0.00080863
                    109,                0.71566,                0.48296,                 1.1775,                0.94841,                0.89594,                0.93341,                0.68942,                0.99617,                0.54222,                 1.4821,              0.0008045,              0.0008045,              0.0008045
                    110,                0.70199,                0.46614,                 1.1554,                0.96348,                0.87985,                0.93685,                0.69813,                0.97299,                0.50947,                 1.4823,             0.00080038,             0.00080038,             0.00080038
                    111,                0.72604,                0.47405,                 1.1666,                0.93557,                0.90589,                0.93417,                 0.6845,                 1.0266,                0.54753,                 1.5326,             0.00079625,             0.00079625,             0.00079625
                    112,                0.69543,                0.47283,                 1.1549,                0.96309,                0.86058,                0.92649,                0.68362,                 1.0106,                0.58033,                 1.5158,             0.00079213,             0.00079213,             0.00079213
                    113,                0.70257,                0.47815,                 1.1547,                0.96652,                 0.8804,                0.93752,                0.69068,                 1.0211,                0.54572,                 1.5259,               0.000788,               0.000788,               0.000788
                    114,                0.67792,                0.45099,                 1.1421,                0.93736,                0.90972,                0.94036,                0.68978,                0.99336,                0.52568,                 1.4884,             0.00078387,             0.00078387,             0.00078387
                    115,                0.70235,                0.45922,                 1.1483,                0.95883,                0.87609,                0.92936,                 0.6876,                 0.9808,                0.52195,                 1.5088,             0.00077975,             0.00077975,             0.00077975
                    116,                0.70472,                0.46308,                 1.1503,                0.95404,                0.89088,                0.93516,                0.68104,                 1.0057,                 0.5302,                 1.4915,             0.00077563,             0.00077563,             0.00077563
                    117,                0.71289,                0.46691,                 1.1578,                0.96514,                0.88298,                0.93524,                0.68373,                 1.0048,                0.53934,                 1.4977,              0.0007715,              0.0007715,              0.0007715
                    118,                0.69124,                0.47174,                 1.1512,                0.94775,                 0.8517,                0.92644,                 0.6866,                0.98264,                0.55004,                 1.4846,             0.00076738,             0.00076738,             0.00076738
                    119,                0.67702,                0.45122,                 1.1457,                0.95271,                0.89314,                 0.9315,                0.69218,                0.99234,                0.54706,                 1.4866,             0.00076325,             0.00076325,             0.00076325
                    120,                0.69469,                0.45961,                 1.1419,                0.97574,                0.88578,                0.93705,                 0.6958,                0.97693,                0.49701,                 1.4827,             0.00075912,             0.00075912,             0.00075912
                    121,                0.68126,                0.45231,                 1.1503,                0.97035,                0.87006,                0.92878,                0.68708,                0.98338,                0.52734,                 1.4833,               0.000755,               0.000755,               0.000755
                    122,                0.67665,                0.45435,                 1.1429,                0.95837,                 0.8969,                0.94097,                0.69124,                0.99108,                0.50328,                 1.5257,             0.00075088,             0.00075088,             0.00075088
                    123,                0.67994,                0.45424,                 1.1415,                0.96422,                 0.8953,                0.93702,                0.69006,                0.98453,                 0.5218,                 1.4889,             0.00074675,             0.00074675,             0.00074675
                    124,                0.67803,                0.44573,                 1.1438,                0.94795,                0.87824,                0.92771,                 0.6867,                0.99887,                 0.5225,                 1.5206,             0.00074263,             0.00074263,             0.00074263
                    125,                0.67449,                0.44718,                 1.1315,                 0.9545,                0.87726,                0.93045,                0.68901,                0.99619,                0.51862,                 1.5022,              0.0007385,              0.0007385,              0.0007385
                    126,                0.68256,                0.45734,                 1.1458,                 0.9623,                0.87295,                0.93275,                0.69366,                0.99375,                0.51378,                 1.5324,             0.00073437,             0.00073437,             0.00073437
                    127,                0.67892,                0.44923,                 1.1345,                0.92305,                0.88895,                0.93308,                0.68782,                0.99373,                0.51715,                 1.5145,             0.00073025,             0.00073025,             0.00073025
                    128,                0.66318,                 0.4388,                 1.1319,                0.96282,                0.84088,                0.91731,                0.67772,                 1.0212,                0.56369,                 1.5443,             0.00072612,             0.00072612,             0.00072612
                    129,                0.65186,                0.43477,                 1.1308,                 0.9558,                 0.8651,                 0.9293,                0.68792,                 1.0017,                0.53452,                 1.5093,               0.000722,               0.000722,               0.000722
                    130,                0.64736,                0.43254,                 1.1304,                0.96869,                0.85354,                0.93282,                0.69461,                0.98017,                0.55506,                 1.4905,             0.00071788,             0.00071788,             0.00071788
                    131,                0.66446,                0.44939,                 1.1308,                0.96001,                0.87567,                0.93546,                 0.6947,                 0.9778,                0.53781,                 1.5053,             0.00071375,             0.00071375,             0.00071375
                    132,                0.67054,                 0.4451,                 1.1343,                0.94516,                0.88754,                 0.9328,                0.68784,                 1.0047,                0.55635,                 1.5283,             0.00070962,             0.00070962,             0.00070962
                    133,                0.66514,                0.43566,                  1.139,                0.95942,                0.86164,                0.92267,                0.68101,                 1.0086,                0.55676,                  1.514,              0.0007055,              0.0007055,              0.0007055
                    134,                0.66372,                0.44212,                 1.1224,                0.95289,                0.89191,                0.93634,                0.68345,                 1.0071,                  0.525,                 1.5197,             0.00070137,             0.00070137,             0.00070137
                    135,                0.66706,                0.45504,                 1.1395,                0.94517,                0.89337,                0.93654,                0.68744,                  0.996,                 0.5324,                 1.5137,             0.00069725,             0.00069725,             0.00069725
                    136,                0.65694,                0.44142,                 1.1315,                0.97123,                0.88676,                0.93505,                0.69002,                0.97925,                0.52766,                 1.4772,             0.00069313,             0.00069313,             0.00069313
                    137,                0.65604,                0.42925,                 1.1231,                0.93273,                0.89693,                0.93338,                0.69343,                0.99225,                0.52738,                 1.5141,               0.000689,               0.000689,               0.000689
